Line,Longitude,Latitude,Type
1,-177.0934815,24.24273967,Start
1,-151.7599278,17.85092433,End
2,-173.2156613,30.39971867,Start
2,-178.6827743,31.71738433,End
3,-172.3337767,29.4220175,Start
3,179.7743645,31.27298117,End
4,-162.7529747,19.04920883,Start
4,-153.0435113,16.59314633,End
5,-157.6922447,16.179215,Start
5,-155.5536493,15.58996317,End
6,-153.9555368,16.02904017,Start
6,-158.8703652,17.30738333,End
7,-153.4982915,23.21697,Start
7,178.3324567,30.04122267,End
8,-152.4301507,22.12424417,Start
8,177.9744965,29.3104165,End
9,-152.3152482,17.17847167,Start
9,-168.8190038,21.3882825,End
10,-151.4062505,18.6489435,Start
10,178.970976,25.97425917,End
11,-151.353452,20.247714,Start
11,177.8965377,27.78179317,End
12,177.8419688,28.53904467,Start
12,-151.696084,21.15185483,End
13,178.1971798,26.96558183,Start
13,-151.2737205,19.42624467,End
14,178.8877515,30.70468167,Start
14,-157.4610688,25.06890667,End
