SpCode,SpName,SpColor,SpSymbol,Level,Group,OriginalName
63,Baird's beaked whale,#D94801,5,25,beakedwhales,Baird's beaked whale
59,Blainville's beaked whale,#FDAE6B,3,23,beakedwhales,Blainville's beaked whale
75,Blue whale,#CB181D,6,35,baleenwhales,Blue whale
18,Bottlenose dolphin,#63966D,6,7,delphinids,Bottlenose dolphin
72,Bryde's whale,#99000D,3,32,baleenwhales,Bryde's whale
5,Common dolphin,#95BF96,2,3,delphinids,Common dolphin
949,Cross Seamount beaked whale,#FF5733,8,29,beakedwhales,Cross Seamount beaked whale
61,Cuvier's beaked whale,#8C2D04,4,24,beakedwhales,Cuvier's beaked whale
48,Dwarf sperm whale,#FFF176,1,20,spermwhales,Dwarf sperm whale
33,False killer whale,darkorchid1,8,15,blackfish,False killer whale
74,Fin whale,#FB6A4A,5,34,baleenwhales,Fin whale
26,Fraser's dolphin,lawngreen,8,9,delphinids,Fraser's dolphin
57,Ginkgo-toothed beaked whale,#FD8D3C,2,22,beakedwhales,Ginkgo-toothed beaked whale
102,Gray's spinner dolphin,#316D44,10,10,delphinids,Gray's spinner dolphin
76,Humpback whale,#FCBBA1,7,36,baleenwhales,Humpback whale
105,Indian Ocean bottlenose dolphin,#215F36,11,11,delphinids,Indian Ocean bottlenose dolphin
37,Killer whale,darkviolet,9,17,blackfish,Killer whale
80,Kogia spp.,gold,2,21,spermwhales,Kogia spp.
65,Longman's beaked whale,#F16913,6,26,beakedwhales,Longman's beaked whale
31,Melon-headed whale,#9E9AC8,0,13,blackfish,Melon-headed whale
71,Minke whale,#FC9272,2,31,baleenwhales,Minke whale
66,North Pacific right whale,#FFF5F0,0,30,baleenwhales,North Pacific right whale
2,Pantropical spotted dolphin,#105128,0,1,delphinids,Offshore spotted dolphin
118,Omura's whale,#D88C88,8,37,baleenwhales,Omura's whale
32,Pygmy killer whale,#54278F,1,14,blackfish,Pygmy killer whale
47,Pygmy sperm whale,#FFFFB2,0,19,spermwhales,Pygmy sperm whale
21,Risso's dolphin,#52885F,7,8,delphinids,Risso's dolphin
15,Rough-toothed dolphin,#84B289,4,5,delphinids,Rough-toothed dolphin
73,Sei whale,#EF3B2C,4,33,baleenwhales,Sei whale
17,Short-beaked common dolphin,seagreen1,5,6,delphinids,Short-beaked common dolphin
36,Short-finned pilot whale,#8F88DA,3,16,blackfish,Short-finned pilot whale
46,Sperm whale,#FFFF33,8,18,spermwhales,Sperm whale
3,Spinner dolphin,#A5CDA4,1,2,delphinids,Spinner dolphin
13,Striped dolphin,springgreen1,3,4,delphinids,Striped dolphin
49,Unidentified beaked whale,#FEE6CE,0,28,beakedwhales,Unidentified beaked whale
149,Unidentified beaked whale,#FEE6CE,0,28,beakedwhales,Unidentified small beaked whale
78,Unidentified whale,#7D7D7D,5,39,unids,Unidentified small whale
79,Unidentified whale,#7D7D7D,5,39,unids,Unidentified large whale
96,Unidentified cetacean,#BDBDBD,0,39,unids,Unidentified cetacean
98,Unidentified whale,#7D7D7D,5,39,unids,Unidentified whale
77,Unidentified dolphin,#C7E9C0,9,12,delphinids,Unidentified dolphin or porpoise
177,Unidentified dolphin,#C7E9C0,9,12,delphinids,Unidentified small delphinid
277,Unidentified dolphin,#C7E9C0,9,12,delphinids,Unidentified medium delphinid
377,Unidentified dolphin,#C7E9C0,9,12,delphinids,Unidentified large delphinid
197,Unidentified marine mammal,#525252,2,40,unids,Unidentified marine mammal
51,Unidentified Mesoplodon,#FDD0A2,1,27,beakedwhales,Unidentified Mesoplodon
97,Unidentified object,#737373,1,41,unids,Unidentified object
70,Unidentified rorqual,#B2383E,1,38,baleenwhales,Unidentified rorqual
99,Unidentified rorqual,#B2383E,1,38,baleenwhales,Unidentified rorqual - sei/bryde's
199,Unidentified rorqual,#B2383E,1,38,baleenwhales,Unididentified rorqual - fin/sei/bryde's
