"","line_num","Cruise","Event","DateTime","Lat","Lon","Mode","OnEffort","EffortDot","EffType","SpdKt","Bft","SegID"
"12",12,1706,"R",2017-07-29 06:27:23,21.1151666666667,-161.481666666667,"C",TRUE,TRUE,"N",NA,NA,1
"13",13,1706,"P",2017-07-29 06:27:23,21.1151666666667,-161.481666666667,"C",TRUE,TRUE,"N",NA,NA,1
"14",14,1706,"V",2017-07-29 06:27:23,21.1151666666667,-161.481666666667,"C",TRUE,TRUE,"N",NA,5,1
"15",15,1706,"N",2017-07-29 06:27:23,21.1151666666667,-161.481666666667,"C",TRUE,TRUE,"N",10.9,5,1
"16",16,1706,"W",2017-07-29 06:27:23,21.1151666666667,-161.481666666667,"C",TRUE,TRUE,"N",10.9,5,1
"17",17,1706,"*",2017-07-29 06:27:55,21.1155,-161.483333333333,"C",TRUE,TRUE,"N",10.9,5,1
"18",18,1706,"*",2017-07-29 06:29:55,21.1168333333333,-161.489666666667,"C",TRUE,TRUE,"N",10.9,5,1
"19",19,1706,"*",2017-07-29 06:31:55,21.1181666666667,-161.496,"C",TRUE,TRUE,"N",10.9,5,1
"20",20,1706,"*",2017-07-29 06:33:55,21.1195,-161.502333333333,"C",TRUE,TRUE,"N",10.9,5,1
"21",21,1706,"X",2017-07-29 06:35:10,21.1203333333333,-161.506333333333,"C",TRUE,TRUE,"N",10.9,5,1
"2310",23,1706,"*",2017-07-29 06:35:55,21.1208333333333,-161.508666666667,"C",TRUE,TRUE,"N",10.9,5,1
"2410",24,1706,"*",2017-07-29 06:37:55,21.1223333333333,-161.515,"C",TRUE,TRUE,"N",10.9,5,1
"2510",25,1706,"E",2017-07-29 06:38:53,21.123,-161.518,"C",TRUE,TRUE,"N",10.9,5,1
"841",84,1706,"R",2017-07-29 07:58:41,21.1156666666667,-161.535,"C",TRUE,TRUE,"N",NA,NA,2
"851",85,1706,"P",2017-07-29 07:58:41,21.1156666666667,-161.535,"C",TRUE,TRUE,"N",NA,NA,2
"861",86,1706,"V",2017-07-29 07:58:41,21.1156666666667,-161.535,"C",TRUE,TRUE,"N",NA,6,2
"871",87,1706,"N",2017-07-29 07:58:41,21.1156666666667,-161.535,"C",TRUE,TRUE,"N",9.5,6,2
